Learning Rate,Weight Decay,Accuracy
0.1,1e-05,-8.078094482421875
0.1,0.0001,-9.183431625366211
0.1,0.0005,-8.471589088439941
0.1,0.001,-8.529755592346191
0.1,0.005,-7.796555042266846
0.1,0.01,-7.435933589935303
0.1,0.05,-8.714780807495117
0.1,0.1,-8.50025463104248
0.05,1e-05,-6.940346717834473
0.05,0.0001,-6.810990333557129
0.05,0.0005,-7.130614757537842
0.05,0.001,-6.963005542755127
0.05,0.005,-7.045880317687988
0.05,0.01,-7.123821258544922
0.05,0.05,-6.741015911102295
0.05,0.1,-6.912496089935303
0.01,1e-05,-2.6447086334228516
0.01,0.0001,-2.6464595794677734
0.01,0.0005,-2.6478543281555176
0.01,0.001,-2.6534361839294434
0.01,0.005,-2.6507437229156494
0.01,0.01,-2.6480817794799805
0.01,0.05,-2.6528661251068115
0.01,0.1,-2.650419235229492
0.005,1e-05,-2.639953851699829
0.005,0.0001,-2.638744592666626
0.005,0.0005,-2.638497829437256
0.005,0.001,-2.6395907402038574
0.005,0.005,-2.6383090019226074
0.005,0.01,-2.637261152267456
0.005,0.05,-2.6390633583068848
0.005,0.1,-2.6364431381225586
0.001,1e-05,-2.770423173904419
0.001,0.0001,-2.7707512378692627
0.001,0.0005,-2.770829916000366
0.001,0.001,-2.7703449726104736
0.001,0.005,-2.770463466644287
0.001,0.01,-2.770880937576294
0.001,0.05,-2.770742177963257
0.001,0.1,-2.7713069915771484
0.0005,1e-05,-2.901320219039917
0.0005,0.0001,-2.9023566246032715
0.0005,0.0005,-2.9017252922058105
0.0005,0.001,-2.9015262126922607
0.0005,0.005,-2.901634931564331
0.0005,0.01,-2.9017884731292725
0.0005,0.05,-2.9020090103149414
0.0005,0.1,-2.9021174907684326
0.0001,1e-05,-3.9771041870117188
0.0001,0.0001,-3.976890802383423
0.0001,0.0005,-3.9766712188720703
0.0001,0.001,-3.9764513969421387
0.0001,0.005,-3.9771156311035156
0.0001,0.01,-3.976585626602173
0.0001,0.05,-3.9772374629974365
0.0001,0.1,-3.9771714210510254
1e-05,1e-05,-4.789790630340576
1e-05,0.0001,-4.789828777313232
1e-05,0.0005,-4.789543628692627
1e-05,0.001,-4.788862228393555
1e-05,0.005,-4.789541244506836
1e-05,0.01,-4.7889509201049805
1e-05,0.05,-4.788774013519287
1e-05,0.1,-4.789822578430176
